Disb_Month,Media_source,stream_media_source,Business,Subbusiness,Org_Inorg,TotalDisbursalAmt,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,Total_Downloads
2025-09-30,DMS,BOLINMOBI0M_INT,BBPS_TXN,BBPS_TXN,Organic,7542,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
2025-10-31,ASO,SINGAPOREMW_INT,EMI Card,IEMI,Inorganic,5830,11,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2025-10-31,ASO,LISTMMSBG_INT,UPI_TXN,UPI_TXN,Inorganic,346,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2025-09-30,CD SBU,MDSP_INT,PLCS,PLCS,Organic,2101659,0,1,1,2,0,0,0,0,0,0,0,0,0,0,4
2025-09-30,CD SOUTH WEST,SUNDVIKA_INT,UPI_SETUP,UPI_SETUP,Organic,9,0,0,0,0,0,0,0,0,0,0,0,1,0,8,9
2025-09-30,SALPL GROWTH,MDSP_INT,FASTAG_ISSUED,FASTAG_ISSUED,Organic,400,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2025-09-30,PLCS PLTB,ORGANIC ASO,UPI_TXN,UPI_TXN,Organic,4,0,0,0,0,0,0,0,1,0,1,0,0,1,1,4
2025-10-31,DMS,MOBAVENUE2_INT,B2B,B2B,Organic,51095,0,0,0,1,0,3,0,0,0,0,0,0,0,0,4
2025-09-30,SERVICE DELIVERY,SUNDVIKA_INT,BBPS_TXN,BBPS_TXN,Organic,8156,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
2025-09-30,RCD NW,USAADZOOMAI_INT,UPI_SETUP,UPI_SETUP,Organic,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2025-10-31,DPF PRIME,EDGEADSSBJ_INT,PPI_TXN,PPI_TXN,Organic,1503,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
2025-09-30,2W SW,PDAVENUE_INT,BBPS_TXN,BBPS_TXN,Organic,49150,3,7,6,0,0,0,0,0,0,0,0,0,0,0,16
2025-09-30,RCD SE,BIDFOX_INT,BBPS_TXN,BBPS_TXN,Organic,798,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2025-09-30,REMI,METBID_INT,UPI_TXN,UPI_TXN,Organic,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2025-10-31,PLCS PLTB,TELLIA_INT,B2B,B2B,Organic,61998,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
2025-09-30,RPL,APPNEXT_INT,SME,PROS PL,Organic,213979,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
2025-09-30,CD SOUTH WEST,NEWBEETK_INT,UPI_SETUP,UPI_SETUP,Organic,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
2025-09-30,NEW CAR DEDICATED,SPORTSGUR44_INT,UPI_SETUP,UPI_SETUP,Organic,4,0,2,1,0,0,0,0,0,0,0,0,1,0,0,4
2025-10-31,ASO,JADIDUIT_INT,PPI_TXN,PPI_TXN,Inorganic,900,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2025-09-30,CD NORTH EAST,MFAAS_INT,PPI_TXN,PPI_TXN,Organic,534,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
2025-09-30,RPPL,ADEER_INT,UPI_TXN,UPI_TXN,Organic,5319,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
2025-09-30,CD SOUTH WEST,CNETFRONTXM_INT,WALLET_SETUP,WALLET_SETUP,Organic,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2025-10-31,ASO,APPSCULPTQ6_INT,CPR,CPR,Inorganic,500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-10-31,,APPNEXT_INT,PPI_TXN,PPI_TXN,Organic,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2025-09-30,BL INDIRECT,MOBAVENUE_INT,PPI_TXN,PPI_TXN,Organic,110,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2
2025-10-31,CD NORTH EAST,KEUCOSTUDIO_INT,B2B,B2B,Organic,145398,0,0,0,0,0,0,2,0,0,2,0,0,0,3,7
2025-10-31,INSURANCE DISTRIBUTION,APPNEXT_INT,Gold Loan,RGL,Organic,228625,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
2025-09-30,RCD NW,INBLINKNW_INT,WALLET_SETUP,WALLET_SETUP,Organic,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2025-09-30,RPPL,DETIAD_INT,WALLET_SETUP,WALLET_SETUP,Organic,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-10-31,ASO,HASOFFERS_INT,EMI Card,IEMI,Inorganic,8480,0,0,0,0,0,0,0,0,2,6,3,2,2,1,16
2025-10-31,LIFESTYLE,APPNEXT_INT,PLCS,PLCS,Organic,2178532,1,3,2,0,1,4,0,2,0,1,0,0,0,5,19
2025-10-31,SERVICE DELIVERY,GOOGLEADWORDS_INT,PLCS,PLCS,Organic,5190589,8,3,4,3,3,2,3,2,0,7,1,0,0,0,36
2025-09-30,DPF GROWTH,LINENMMKBU_INT,UPI_TXN,UPI_TXN,Organic,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2025-09-30,CD NORTH EAST,TELLIA_INT,WALLET_SETUP,WALLET_SETUP,Organic,18,5,4,3,0,0,1,0,0,2,3,0,0,0,0,18
2025-10-31,@ PAID,RCS,FASTAG_ISSUED,FASTAG_ISSUED,Inorganic,400,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2025-09-30,DPF GROWTH,YULEMEDIAUU_INT,PPI_TXN,PPI_TXN,Organic,1288,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
2025-09-30,RPPL,ADSWAY_INT,PPI_TXN,PPI_TXN,Organic,379,0,3,1,0,0,0,0,0,0,0,0,0,0,0,4
2025-09-30,SERVICE DELIVERY,SETTINGS,PPI_TXN,PPI_TXN,Organic,825,2,0,0,0,1,0,0,0,0,0,0,0,0,1,4
2025-09-30,SERVICE DELIVERY,SPORTSGUR44_INT,Wheels,TW,Organic,114519,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2025-10-31,DPF GROWTH,XIAOMIMIPICKS_INT,BBPS_TXN,BBPS_TXN,Organic,3524,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2025-09-30,INSURANCE DISTRIBUTION,APPNEXT_INT,Gold Loan,RGL,Organic,161759,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
2025-09-30,PL PROSPECT,MOLOCO_INT,UPI_SETUP,UPI_SETUP,Organic,9,0,0,0,0,0,0,0,0,0,0,0,1,0,8,9
2025-10-31,LIFESTYLE,APPLABS_INT,PLCS,PLCS,Organic,426754,0,0,1,0,1,1,0,1,0,0,0,0,0,0,4
2025-09-30,PLCS GROWTH SW,PDAVENUE_INT,UPI_SETUP,UPI_SETUP,Organic,90,52,17,18,3,0,0,0,0,0,0,0,0,0,0,90
2025-10-31,ASO,LISTMMIFQ_INT,UPI_TXN,UPI_TXN,Inorganic,500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2025-09-30,2W SW,TWIRLADSRG_INT,UPI_TXN,UPI_TXN,Organic,125,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2025-09-30,CD SBU,NONE,WALLET_SETUP,WALLET_SETUP,Organic,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2025-10-31,PL PROSPECT,MIQDIGITALUK,BBPS_TXN,BBPS_TXN,Organic,199,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2025-10-31,DPF GROWTH,COOLGAMEBQ_INT,PPI_TXN,PPI_TXN,Organic,500,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
2025-09-30,B2B RURAL ARU + CALL CENTER,B2B RURAL ARU + CALL CENTER,PPI_TXN,PPI_TXN,Organic,2300,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
2025-09-30,NEW CAR DEDICATED,UXARTEAMIJ_INT,UPI_SETUP,UPI_SETUP,Organic,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2025-10-31,PLCS GROWTH SW,MINTEGRAL_INT,BBPS_TXN,BBPS_TXN,Organic,18791,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
2025-09-30,UCF,FASTMOBI_INT,BBPS_TXN,BBPS_TXN,Organic,2900,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2025-09-30,RPL EMERGING,SPORTSGUR44_INT,RPL,RPL,Organic,2886128,10,4,4,3,0,0,0,0,0,0,0,0,0,0,21
2025-10-31,DPF PRIME,BOHEMIANBPPH_INT,BBPS_TXN,BBPS_TXN,Organic,500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-10-31,GOLD LOAN,SPORTSGUR44_INT,EMI Card,IEMI,Organic,530,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-09-30,SERVICE DELIVERY,DESMOB_INT,PLCS,PLCS,Organic,146802,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2
2025-10-31,PLCS PLTB,FOLOADS_INT,BBPS_TXN,BBPS_TXN,Organic,1604,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2025-10-31,BL SECURED,DESMOB_INT,CPR,CPR,Organic,500,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-09-30,PLCS GROWTH NE,REFER AND EARN,BBPS_TXN,BBPS_TXN,Organic,497030,174,29,10,6,6,9,29,17,16,41,28,23,19,39,446
2025-09-30,LTW,ORGANIC,WALLET_SETUP,WALLET_SETUP,Organic,22,0,0,0,0,0,0,2,2,2,1,1,6,2,6,22
2025-09-30,RPL GIN,LIFTOFF_INT,RPL,RPL,Organic,717053,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3
2025-09-30,BL INDIRECT,BL INDIRECT,WALLET_SETUP,WALLET_SETUP,Organic,41,16,2,2,4,1,1,2,3,2,2,0,1,1,4,41
2025-10-31,ASO,FXMEDIAYD_INT,UPI_SETUP,UPI_SETUP,Inorganic,54,0,0,0,0,0,0,0,33,2,8,0,11,0,0,54
2025-10-31,RCD SE,ACARPSTECH_INT,BBPS_TXN,BBPS_TXN,Organic,8703,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
2025-09-30,PLCS T2,MFAAS_INT,UPI_TXN,UPI_TXN,Organic,530,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2025-10-31,SALPL GROWTH,ADEER_INT,B2B,B2B,Organic,24999,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
